                                                           QUERY PLAN                                                            
---------------------------------------------------------------------------------------------------------------------------------
 Bitmap Heap Scan on customers_jsonb  (cost=92.29..16272.39 rows=5102 width=128) (actual time=7.224..75.382 rows=6997 loops=1)
   Recheck Cond: ((personal @> '{"personal": {"age": 26}}'::jsonb) AND (personal @> '{"personal": {"gender": "F"}}'::jsonb))
   Heap Blocks: exact=6733
   ->  Bitmap Index Scan on personal_gin_idx  (cost=0.00..91.02 rows=5102 width=0) (actual time=6.540..6.540 rows=6997 loops=1)
         Index Cond: ((personal @> '{"personal": {"age": 26}}'::jsonb) AND (personal @> '{"personal": {"gender": "F"}}'::jsonb))
 Planning Time: 0.227 ms
 Execution Time: 75.942 ms
(7 Zeilen)

 firstname |  lastname  | gender | age 
-----------+------------+--------+-----
 CIUAMH    | SZDGZOOONJ | F      | 26
 HCWALA    | LTOYBDGMUW | F      | 26
 XYHHZY    | FSSNDDZELB | F      | 26
 KNXOHN    | ZMGGLIQCFT | F      | 26
 KSSZEF    | KUBGFQKWEW | F      | 26
 ZHCQEZ    | BMXXDFJDMS | F      | 26
 WOJUUF    | AFDLOZMLCQ | F      | 26
 OSGPML    | TCTWRMTZUI | F      | 26
 DBWULW    | AZQMWYFKAF | F      | 26
 GVCWWS    | XYQDZWLXSK | F      | 26
 IFTWQH    | JGTXLTJPMA | F      | 26
 ISHHHM    | NGIGSKZTYH | F      | 26
 YPBEVM    | SRTZKJSLGQ | F      | 26
 BMHVGW    | FECHFKHHXY | F      | 26
 MRYWSK    | WOBBLEKOHK | F      | 26
 FFTLGZ    | NOROYPWRRE | F      | 26
 HNZHOB    | RWQYEHGMXC | F      | 26
 LAAIXT    | UZEPRLHBBC | F      | 26
 HWQJMC    | WTWPVHOTQM | F      | 26
 EYPOPX    | CXUXAGUXYJ | F      | 26
 JZJBTF    | DGSPSIVYYQ | F      | 26
 FIZHRQ    | JIPPKLIRQH | F      | 26
 CAPAWI    | OWJBBUQKZY | F      | 26
 SLAIRF    | WFZMAARLYZ | F      | 26
 PFJBET    | GCMPXCTLKN | F      | 26
 AADVMN    | MEMQEWYFYE | F      | 26
 YQIDJD    | ZLTBMALBUL | F      | 26
 NJESDX    | ZTMYYUOILZ | F      | 26
 REGANI    | QDYTCTTOBH | F      | 26
 UJMPVO    | QILKEMUZOO | F      | 26
 BUSJYY    | BSZMNBIJMV | F      | 26
 CBOZRM    | VJYKXQEKQO | F      | 26
 HYWJHL    | LQBODJIGTF | F      | 26
 RWSPZL    | DYSFJPJBUK | F      | 26
 MPXOQT    | VNUZCDWSHE | F      | 26
 AWVXMJ    | MJCHRGMRMC | F      | 26
 GKPGNH    | TREKYNHNWE | F      | 26
 USUNGB    | XMGPVDYUSY | F      | 26
 WEEIWI    | EYIUCELLKO | F      | 26
 QLPXAY    | SZSKPPGCNN | F      | 26
 TAMPRW    | SHIQKKTYGF | F      | 26
 SNRITA    | ATVPPEMHGY | F      | 26
 QCPNCT    | VTUCQFQDJQ | F      | 26
 GFGMRC    | JZBUHVWXEW | F      | 26
 ONIIHH    | CHSAZKUWIN | F      | 26
 OJHCWN    | XCGWHTZWKT | F      | 26
 PLCOWI    | UNGLDHAMLZ | F      | 26
 AVBCON    | JUZMFENHML | F      | 26
 NFBIKF    | PFIKDKLGKW | F      | 26
 MXFQKA    | XLXBKTIGKY | F      | 26
