                                                 QUERY PLAN                                                  
-------------------------------------------------------------------------------------------------------------
 Seq Scan on customers  (cost=0.00..2796.50 rows=66 width=246) (actual time=0.045..11.862 rows=1009 loops=1)
   Filter: ((state)::text = 'SD'::text)
   Rows Removed by Filter: 48991
 Planning Time: 0.080 ms
 Execution Time: 11.906 ms
(5 Zeilen)

            firstname             |             lastname             | gender | age 
----------------------------------+----------------------------------+--------+-----
 cd41a973472e1401d8633a7911502c7f | 8869f9bc111a03309034e538ccfed27e | F      |  25
 78f489feed4b29bcd6e33694fe560038 | 45e0dee80b788d4e8707ebe6329b5147 | F      |  27
 ff8e1b0cb3d418af34b7f143fbeb1746 | 91b8fe72bc5ba52638ea73652e78231b | F      |  60
 60f07afbbdd3e4ea6037b6f8b35c5f18 | d8f580d1181a51b979040e008dc7e78d | M      |  33
 3c8c27f9e570abc4d893cfeb739964a6 | 04c2685f6bbfed739c18bca335a0293d | F      |  20
 084ad798c3bf4fdf2e3ec7e3a0e9434c | ecf3b3eb5e67a4de51fe11fd74af029b | F      |  64
 41327a3bdd59723379ce4c4be4664b72 | e97585dfaf233915284642a2da7c8cc9 | M      |  18
 9af6fd3f61df67d02a9137f95a41dd5b | 3dbc12198dd3111273d3b8ed485d4f2d | F      |  61
 d66b4546f9aecbb67922d3efdbd86cac | 79d9d91f2bb7efa0cbbf1caf184d27f4 | F      |  78
 bc0d92697c5fbca7347d93ac8bf47d92 | b6237af3c7fa368515d374f336dc6ae7 | M      |  45
 8d49506e00e60b445e02e0dd1c9cd70e | 203f254edffaf55fec20e73509dc5092 | F      |  55
 e2c40e27dc2eee5b4e4351da07afff1d | a30c02be944fad46f6ae1b375a9404ee | M      |  98
 e2c548fc252e2d214064feb31376b673 | b7d919eb9bb10696db41169d3af9bf5d | F      |  65
 1a8ee37964cd6eb2219dda2328e050fd | dc47a8fe38ffba28d2f32117a9724f11 | F      |  94
 d74c0adee88742f58ebb9aeafe8f89ed | 6b2d1823e3d9ff7fbc2aa13ab1e2972f | F      |  80
 24b7a332d212711aa5df428b35b4ecb7 | 7471a2f0858608e1483e671d44dd67ce | M      |  38
 f23990f4211f8e1a9baca6277dfcf72f | f8306455e4e1c474c3eb0abbda8b7cff | F      |  76
 505306c3f4a82cad5c85d7d9e8b2b50f | eefd86a8a534ac0edb805c11d8f04804 | F      |  71
 96ba7cdcf71e6b8ac11e905d9eeb1beb | 49c2048e3b933bc61d938dbc4ee5ddab | F      |  82
 0d62f83c15ae2cc324ad34cfef7e8dce | 97651a11d4b5b9437428915d8f18c375 | M      |  36
 4d9e64548ede2a231fd727f6103a22b9 | 734d55c7f8ba5916fdd01ad35f54ae56 | M      |  17
 206175ce654c0875c35dccb1db32ae83 | efa7d9d2827480212d48a69d92bb05d0 | M      |  45
 3f052708de9e9d207038669dc84914b8 | 525e7fce59bbcf42ec1a28988c1a05a3 | F      |  15
 bf7b24714fe5269faa128ea1e13d2b9d | d352b67c9689f09a6c6f329225fc671b | F      |  81
 fb32d5113a76fa2d6ec1d37e20780f01 | 5484ee36e3132d1d1b0af4db76cf2c8c | F      |  12
 472c5d234abfd1831853a6940a772e4a | 02cf16da1da2ada67a46b85020e16be4 | F      |  39
 9004f393d4d56478d85b369b668b4fab | b8dce1f4099d6d17f8b5a68ac0a8bae1 | M      |  57
 ad6f4370865ce626d865205a972a12f1 | 9f178d98879dfedd51900948fd81e837 | F      |  63
 ffa3767fc313b5e9baef2dbfd98a1844 | 17573d4eb8f466edd343d199116670fa | F      |  77
 19eab3dd554264c64f907a137b68e9a0 | b7381f6b97a5f3117d7e5b1c15919ece | F      |  83
 8b93e9df8ede289efb6a8d954a77f606 | ead31ca9cea545f40f09afba352bd793 | M      |  12
 6def6cf0ab81bb039b126fa6be727f84 | d568be10bd18b8348536219901d5afba | M      |  93
 b17419de5ee85865f4bc38569f11fbcc | 69caaaffbeacf3d919688dd8bb212fdc | M      |  73
 47132fc77691779dd64f3ce6ba3a3aa5 | 765ce071df7cc6f92251c262bc73fe25 | F      |  71
 68b30ec888467cc1df4f891f1483208f | 3fce48dbe885c9a44cd5b216f6de190b | F      |  15
 3a42d3112d7a2940158ac37ac83e8db2 | 62b7219c1d48526e48525ef47e2d3eaf | F      |  17
 c3f14c4a9721c1cca56733693e0b6a8d | 8772a02221d56fc02bcc54b1e4a41c06 | M      |  82
 9f9fdbcdd9dcf9d7d7d40a00c2287bd1 | b47ffe5f61370b313ed9e0167d8d0bad | M      |  61
